user_id,signup_date,plan_tier,region,acquisition_channel,company_segment,monthly_logins,features_used,support_tickets,team_size,api_adopted,churned,churn_date,monthly_price,acquisition_cost,estimated_ltv
U00049,2025-05-20,Business,India,Organic,SMB,20,9,0,6,0,0,,249,31.99,2739
U00050,2025-05-15,Free,Canada,Organic,SMB,14,1,0,2,0,0,,0,34.07,0
U00051,2025-10-25,Free,Canada,Organic,Startup,5,3,1,4,0,1,2026-09-07,0,43.72,0
U00052,2025-04-20,Free,India,Paid Search,Mid-Market,11,3,2,3,0,1,2025-08-20,0,117.48,0
U00053,2025-02-19,Pro,Canada,Paid Search,Startup,11,5,0,4,0,0,,79,100.92,948
U00054,2025-02-28,Business,UK,Organic,Enterprise,16,8,2,9,0,0,,249,44.44,2739
U00055,2025-05-24,Free,India,Partner,SMB,7,2,4,1,0,1,2025-11-13,0,61.11,0
U00056,2025-06-28,Business,US,Organic,SMB,19,11,0,10,0,0,,249,28.99,2739
U00057,2025-04-08,Pro,US,Partner,Startup,12,8,0,8,0,0,,79,78.89,1106
U00058,2025-05-11,Free,US,Organic,Mid-Market,15,2,1,3,0,1,2025-07-04,0,25.3,0
U00059,2025-07-18,Business,US,Content,SMB,18,8,0,7,1,0,,249,33.47,2739
U00060,2025-03-31,Free,Canada,Partner,SMB,7,6,1,2,0,1,2025-12-20,0,84.79,0
U00061,2025-10-17,Free,India,Referral,Startup,14,4,1,5,1,0,,0,34.03,0
U00062,2025-03-04,Pro,US,Referral,SMB,8,2,2,2,0,0,,79,42.22,711
U00063,2025-10-08,Free,Australia,Organic,SMB,9,2,0,2,0,0,,0,45.5,0
U00064,2025-09-20,Free,Germany,Paid Search,Startup,5,2,1,3,0,1,2026-07-22,0,131.5,0
U00065,2025-10-15,Pro,Australia,Paid Search,Mid-Market,12,5,1,2,0,0,,79,65.62,711
U00066,2025-08-28,Free,US,Organic,Startup,10,4,1,4,0,1,2025-12-22,0,36.93,0
U00067,2025-06-08,Pro,US,Partner,SMB,11,8,0,6,0,0,,79,65.54,711
U00068,2025-07-02,Business,US,Organic,SMB,11,8,1,3,1,0,,249,44.85,3486
U00069,2025-03-04,Business,UK,Paid Search,Enterprise,9,9,1,5,0,1,2025-07-30,249,90.52,1245
U00070,2025-04-14,Pro,Australia,Organic,Startup,8,7,1,3,0,0,,79,20.1,948
U00071,2025-05-19,Pro,India,Organic,Startup,16,8,1,3,0,0,,79,14.94,1106
U00072,2025-10-12,Pro,India,Paid Search,Startup,13,6,2,6,1,0,,79,95.59,1027
U00073,2025-08-27,Free,Canada,Paid Search,Mid-Market,11,3,5,2,0,1,2025-12-10,0,83.21,0
U00074,2025-06-19,Pro,India,Referral,Mid-Market,12,4,2,4,1,0,,79,21.3,1106
U00075,2025-06-28,Business,US,Paid Search,Startup,17,9,0,5,1,0,,249,94.42,2241
U00076,2025-05-10,Business,US,Organic,Startup,12,10,0,11,0,1,2025-09-27,249,33.74,1245
U00077,2025-05-06,Pro,India,Referral,Startup,16,5,1,6,0,0,,79,36.6,1106
U00078,2025-09-28,Pro,Canada,Referral,SMB,17,5,1,5,0,1,2025-12-26,79,42.77,237
U00079,2025-01-02,Pro,US,Paid Search,SMB,12,5,2,3,0,0,,79,101.68,711
U00080,2025-04-06,Free,India,Referral,Mid-Market,8,3,5,1,0,1,2025-05-29,0,21.02,0
U00081,2025-05-03,Free,US,Partner,Mid-Market,7,2,3,3,1,0,,0,73.67,0
U00082,2025-07-28,Free,Canada,Organic,SMB,8,7,3,2,0,0,,0,23.78,0
U00083,2025-05-04,Free,Canada,Content,Mid-Market,13,4,0,1,1,0,,0,45.37,0
U00084,2025-04-05,Free,India,Organic,Mid-Market,5,7,1,2,0,0,,0,36.61,0
U00085,2025-01-24,Free,US,Paid Search,Mid-Market,7,1,2,4,0,1,2025-04-26,0,96.66,0
U00086,2025-03-20,Free,US,Referral,SMB,9,4,0,2,0,1,2025-08-03,0,34.9,0
U00087,2025-02-01,Free,UK,Organic,Startup,9,5,1,2,0,0,,0,41.39,0
U00088,2025-07-30,Pro,India,Organic,Mid-Market,9,8,0,3,1,0,,79,45.42,1027
U00089,2025-05-09,Pro,US,Organic,SMB,14,9,0,4,0,0,,79,51.8,948
U00090,2025-03-10,Free,US,Referral,Mid-Market,5,3,0,4,0,1,2025-11-06,0,26.15,0
U00091,2025-06-12,Pro,UK,Referral,Startup,12,6,2,2,0,0,,79,21.96,1027
U00092,2025-05-28,Pro,India,Partner,Mid-Market,8,7,0,5,0,0,,79,71.94,790
U00093,2025-05-22,Pro,US,Paid Search,SMB,7,5,1,5,1,0,,79,115.96,790
U00094,2025-06-24,Free,UK,Referral,Startup,7,3,0,1,0,0,,0,38.18,0
U00095,2025-07-07,Pro,US,Organic,SMB,8,7,0,6,0,0,,79,35.16,948
U00096,2025-02-26,Pro,India,Referral,Mid-Market,16,4,0,1,0,0,,79,47.95,1106
U00097,2025-02-16,Free,UK,Referral,SMB,6,6,3,2,0,1,2026-01-10,0,39.63,0
U00098,2025-08-08,Pro,US,Content,Startup,20,3,2,2,0,0,,79,31.64,790
U00099,2025-10-19,Free,US,Referral,Startup,6,3,2,1,0,1,2026-08-26,0,41.09,0
U00100,2025-06-14,Pro,UK,Organic,Startup,13,7,2,3,0,0,,79,31.69,632
U00101,2025-05-16,Free,Canada,Partner,Startup,14,2,0,3,0,0,,0,76.28,0
U00102,2025-07-06,Free,India,Content,SMB,10,4,2,1,0,1,2025-10-10,0,33.61,0
U00103,2025-01-11,Free,India,Referral,Mid-Market,4,4,4,4,0,1,2025-11-07,0,48.13,0
U00104,2025-04-22,Free,India,Referral,Startup,11,6,2,6,1,0,,0,28.23,0
U00105,2025-04-18,Free,US,Organic,Startup,10,3,0,1,1,0,,0,17.64,0
U00106,2025-05-07,Free,Australia,Organic,Startup,4,3,0,1,0,1,2025-07-22,0,56.23,0
U00107,2025-08-12,Pro,UK,Partner,Startup,12,8,1,5,1,0,,79,80.82,869
U00108,2025-05-29,Pro,US,Organic,Startup,13,7,2,6,0,0,,79,26.62,869
U00109,2025-09-14,Pro,Australia,Referral,SMB,13,9,1,7,0,1,2026-04-06,79,35.62,553
U00110,2025-05-21,Free,UK,Content,Startup,9,4,0,1,0,0,,0,33.05,0
U00111,2025-01-11,Business,India,Organic,SMB,11,10,1,11,1,1,2025-11-16,249,57.41,2490
U00112,2025-07-22,Free,India,Partner,Startup,11,1,2,2,0,1,2026-04-23,0,41.43,0
U00113,2025-08-28,Pro,India,Organic,Startup,9,7,0,4,0,0,,79,37.63,948
U00114,2025-06-23,Free,UK,Content,Startup,12,3,4,3,0,1,2026-03-29,0,34.48,0
U00115,2025-10-09,Free,Canada,Organic,Startup,11,4,1,4,0,0,,0,19.87,0
U00116,2025-05-05,Free,US,Organic,SMB,8,1,4,3,0,1,2025-09-08,0,25.81,0
U00117,2025-08-28,Pro,US,Organic,Mid-Market,12,10,0,4,0,0,,79,24.29,1027
U00118,2025-01-01,Business,India,Paid Search,Startup,17,6,2,8,1,0,,249,92.08,2988
U00119,2025-01-12,Pro,US,Paid Search,Startup,14,8,2,5,0,1,2025-03-24,79,72.63,158
U00120,2025-08-27,Pro,Canada,Paid Search,Mid-Market,13,6,2,3,0,0,,79,68.89,790
U00121,2025-09-20,Business,Canada,Referral,SMB,15,9,2,15,1,0,,249,53.5,2490
U00122,2025-06-05,Pro,UK,Paid Search,SMB,11,7,1,5,1,0,,79,98.64,948
U00123,2025-08-14,Free,US,Paid Search,SMB,4,6,1,5,0,0,,0,89.07,0
U00124,2025-04-08,Free,UK,Organic,Startup,6,1,1,2,0,1,2025-06-24,0,28.12,0
U00125,2025-08-07,Pro,UK,Organic,SMB,17,5,0,2,0,0,,79,17.24,1106
U00126,2025-05-30,Free,US,Content,SMB,6,1,1,2,0,1,2026-03-14,0,68.15,0
U00127,2025-04-02,Pro,India,Organic,SMB,14,9,0,2,1,0,,79,33.3,869
U00128,2025-01-29,Free,India,Paid Search,SMB,7,3,1,3,0,0,,0,69.15,0
U00129,2025-02-22,Free,India,Organic,Startup,9,2,2,3,0,1,2025-10-24,0,27.77,0
U00130,2025-09-29,Free,US,Referral,Mid-Market,9,8,1,3,0,1,2026-03-11,0,39.52,0
U00131,2025-05-14,Free,US,Organic,Startup,8,1,3,2,0,1,2025-06-28,0,21.81,0
U00132,2025-10-24,Free,US,Partner,SMB,6,3,0,4,0,1,2025-11-24,0,62.23,0
U00133,2025-04-16,Free,India,Referral,SMB,6,3,1,4,0,0,,0,17.78,0
U00134,2025-01-18,Business,US,Organic,SMB,17,10,1,5,0,1,2025-07-15,249,33.83,1494
U00135,2025-03-18,Business,India,Referral,Mid-Market,13,9,0,7,0,0,,249,30.73,2739
U00136,2025-04-18,Pro,India,Organic,Mid-Market,9,6,1,2,0,0,,79,37.07,948
U00137,2025-07-30,Pro,India,Content,Mid-Market,20,7,2,7,0,0,,79,47.74,948
U00138,2025-08-08,Pro,India,Organic,Startup,12,7,1,7,0,0,,79,41.84,948
U00139,2025-08-10,Pro,US,Content,Startup,10,5,1,1,0,1,2025-11-02,79,21.25,237
U00140,2025-04-05,Free,Canada,Organic,Mid-Market,10,5,1,1,0,0,,0,38.24,0
U00141,2025-04-25,Pro,UK,Organic,SMB,21,6,0,4,1,0,,79,39.56,1027
U00142,2025-06-20,Pro,Canada,Referral,SMB,8,5,1,6,1,0,,79,37.54,948
U00143,2025-07-01,Pro,UK,Referral,SMB,11,8,2,4,0,0,,79,32.6,1027
U00144,2025-05-05,Free,India,Partner,Startup,10,4,4,3,0,0,,0,79.5,0
U00145,2025-02-27,Free,India,Organic,SMB,9,4,2,4,0,0,,0,19.78,0
U00146,2025-08-21,Pro,US,Content,Startup,13,8,0,5,0,1,2026-06-06,79,24.53,790
U00147,2025-06-06,Business,Canada,Content,Mid-Market,6,10,0,11,0,0,,249,43.73,3486
U00148,2025-10-15,Business,Canada,Organic,SMB,24,8,1,17,1,0,,249,39.41,2739
U00149,2025-10-11,Pro,Australia,Organic,Startup,11,6,0,5,1,0,,79,30.54,790
U00150,2025-09-24,Free,UK,Referral,Enterprise,5,2,2,4,0,1,2026-07-05,0,40.93,0
U00151,2025-10-16,Pro,Australia,Referral,SMB,13,5,1,4,1,1,2026-06-18,79,33.73,632
U00152,2025-07-06,Free,UK,Partner,Mid-Market,9,3,0,3,1,1,2026-04-24,0,76.14,0
U00153,2025-03-31,Pro,India,Content,SMB,13,3,2,4,1,1,2025-07-10,79,59.56,237
U00154,2025-02-18,Business,UK,Organic,SMB,17,10,0,6,0,1,2025-12-03,249,39.86,2490
U00155,2025-02-01,Pro,India,Organic,Startup,13,3,0,4,0,0,,79,44.51,948
U00156,2025-10-12,Pro,India,Referral,Startup,9,6,3,5,1,0,,79,32.34,869
U00157,2025-03-23,Free,Canada,Paid Search,Mid-Market,11,3,0,3,1,0,,0,72.65,0
U00158,2025-01-08,Free,Australia,Organic,Mid-Market,7,2,2,4,0,0,,0,41.76,0
U00159,2025-01-12,Business,US,Paid Search,SMB,11,4,0,8,1,0,,249,110.96,2739
U00160,2025-03-31,Pro,US,Paid Search,SMB,13,6,0,5,0,0,,79,88.57,869
U00161,2025-10-21,Pro,UK,Organic,Mid-Market,9,7,2,5,0,1,2026-01-03,79,40.24,158
U00162,2025-03-26,Free,Germany,Referral,SMB,10,1,1,4,0,1,2025-12-14,0,42.91,0
U00163,2025-01-31,Free,Germany,Paid Search,Startup,12,2,2,4,0,1,2025-06-03,0,69.45,0
U00164,2025-07-21,Pro,UK,Organic,SMB,16,7,1,4,0,0,,79,16.79,790
U00165,2025-01-18,Pro,US,Content,Startup,10,6,1,8,1,0,,79,45.13,869
U00166,2025-05-27,Free,US,Partner,Mid-Market,9,3,2,4,0,1,2025-07-11,0,89.23,0
U00167,2025-01-26,Free,India,Organic,Mid-Market,9,1,6,1,0,1,2025-10-17,0,26.52,0
U00168,2025-01-28,Pro,Canada,Paid Search,Startup,17,5,0,4,0,0,,79,62.55,948
U00169,2025-04-19,Free,Germany,Content,Mid-Market,10,4,3,3,0,0,,0,33.52,0
U00170,2025-01-04,Free,UK,Organic,SMB,6,4,0,1,0,0,,0,17.78,0
U00171,2025-09-13,Pro,US,Organic,Startup,18,8,1,2,0,0,,79,31.33,711
U00172,2025-07-01,Free,India,Partner,Mid-Market,9,1,4,3,0,0,,0,81.77,0
U00173,2025-10-08,Free,India,Referral,Mid-Market,10,7,1,4,0,0,,0,16.57,0
U00174,2025-05-28,Pro,Germany,Organic,SMB,16,4,0,6,0,0,,79,49.78,1106
U00175,2025-06-16,Free,Australia,Paid Search,Mid-Market,7,2,3,3,1,0,,0,98.42,0
U00176,2025-06-30,Free,India,Referral,SMB,13,5,2,2,0,0,,0,18.48,0
U00177,2025-05-20,Free,India,Organic,Startup,7,5,1,1,1,1,2025-08-07,0,34.79,0
U00178,2025-06-19,Pro,Canada,Referral,Mid-Market,10,7,0,4,1,0,,79,21.95,632
U00179,2025-06-21,Free,Australia,Paid Search,SMB,5,4,2,2,0,0,,0,81.5,0
U00180,2025-09-25,Free,India,Referral,SMB,7,3,0,3,0,1,2026-06-03,0,23.79,0
U00181,2025-04-02,Business,Germany,Referral,Mid-Market,17,6,0,8,0,0,,249,24.53,3237
U00182,2025-10-03,Free,Australia,Organic,Startup,6,4,1,2,0,1,2026-06-23,0,44.75,0
U00183,2025-02-21,Business,US,Organic,SMB,14,11,0,9,0,0,,249,17.98,2241
U00184,2025-02-26,Free,UK,Referral,Startup,5,2,2,3,0,1,2025-10-06,0,42.55,0
U00185,2025-03-18,Pro,US,Referral,Startup,11,6,1,5,0,0,,79,43.98,1027
U00186,2025-10-10,Pro,US,Organic,Startup,10,6,0,4,0,0,,79,36.61,1106
U00187,2025-03-15,Free,Canada,Referral,SMB,5,7,2,3,0,0,,0,50.72,0
U00188,2025-08-25,Pro,US,Organic,Mid-Market,15,5,1,3,1,0,,79,36.66,711
U00189,2025-06-24,Free,UK,Referral,Startup,8,7,2,3,0,1,2025-10-28,0,24.84,0
U00190,2025-07-11,Business,Canada,Organic,Enterprise,18,11,2,9,0,0,,249,16.16,3237
U00191,2025-01-24,Free,India,Organic,SMB,8,3,1,5,0,1,2025-07-26,0,43.97,0
U00192,2025-07-17,Business,India,Referral,SMB,8,5,1,6,0,0,,249,17.86,2739
U00193,2025-01-21,Free,India,Content,Startup,10,1,1,1,0,1,2025-10-09,0,33.16,0
U00194,2025-06-13,Pro,India,Partner,Startup,10,6,3,2,0,1,2025-09-05,79,77.29,237
U00195,2025-08-25,Pro,US,Referral,SMB,18,6,2,3,0,0,,79,21.7,869
U00196,2025-10-03,Pro,India,Referral,Mid-Market,16,6,2,10,0,0,,79,36.85,869
U00197,2025-10-24,Pro,India,Paid Search,Mid-Market,9,7,2,2,0,0,,79,115.31,790
U00198,2025-03-11,Free,US,Organic,SMB,11,2,3,3,0,1,2025-07-02,0,40.29,0
U00199,2025-08-19,Pro,UK,Paid Search,Startup,15,4,0,7,1,0,,79,99.96,948
U00200,2025-06-29,Free,Canada,Referral,SMB,10,4,0,4,0,0,,0,34.29,0
U00201,2025-08-09,Free,India,Paid Search,SMB,4,6,2,2,0,0,,0,95.37,0
U00202,2025-09-02,Free,US,Referral,SMB,12,1,0,2,0,0,,0,33.36,0
U00203,2025-05-23,Free,US,Referral,Mid-Market,8,4,2,2,0,0,,0,44.17,0
U00204,2025-02-10,Business,US,Partner,Mid-Market,10,13,1,4,0,0,,249,50.09,2988
U00205,2025-08-25,Free,Germany,Paid Search,SMB,7,4,1,4,0,1,2026-07-05,0,109.9,0
U00206,2025-07-04,Free,India,Paid Search,Startup,7,3,1,1,0,0,,0,93.69,0
U00207,2025-02-10,Business,India,Paid Search,SMB,15,6,2,6,0,0,,249,124.44,3486
U00208,2025-05-01,Free,US,Content,Enterprise,8,4,3,3,0,0,,0,41.35,0
U00209,2025-02-13,Free,India,Partner,Mid-Market,11,1,1,3,0,0,,0,98.84,0
U00210,2025-08-18,Free,Germany,Content,Startup,12,1,0,2,0,0,,0,19.83,0
U00211,2025-04-11,Business,US,Paid Search,SMB,23,9,0,5,0,0,,249,114.37,2490
U00212,2025-01-21,Free,US,Organic,Mid-Market,20,5,1,2,0,1,2025-04-09,0,35.37,0
U00213,2025-03-27,Free,Australia,Organic,Startup,11,3,3,2,0,1,2025-07-17,0,31.47,0
U00214,2025-07-02,Business,India,Organic,Startup,15,12,0,6,1,0,,249,31.91,2490
U00215,2025-06-27,Business,India,Organic,Startup,11,5,0,4,0,0,,249,31.02,3237
U00216,2025-09-15,Business,Canada,Partner,Mid-Market,18,11,1,9,0,0,,249,71.36,3486
U00217,2025-04-19,Free,US,Content,Mid-Market,5,3,1,2,0,0,,0,39.45,0
U00218,2025-07-08,Free,India,Organic,Startup,13,7,0,2,0,0,,0,30.06,0
U00219,2025-10-11,Pro,Germany,Referral,Startup,10,8,1,5,1,0,,79,35.61,1106
U00220,2025-04-07,Pro,Germany,Organic,Startup,7,8,0,5,1,0,,79,20.53,948
U00221,2025-01-10,Free,Canada,Paid Search,SMB,10,3,3,3,0,1,2025-09-22,0,115.73,0
U00222,2025-07-16,Free,Canada,Organic,Mid-Market,6,1,0,2,0,0,,0,29.9,0
U00223,2025-06-30,Free,Canada,Referral,Mid-Market,9,4,0,2,0,1,2026-04-15,0,28.6,0
U00224,2025-04-12,Pro,UK,Organic,SMB,11,6,1,4,0,0,,79,31.45,948
U00225,2025-06-18,Free,India,Organic,SMB,6,1,2,4,0,0,,0,21.44,0
U00226,2025-07-20,Business,India,Paid Search,Mid-Market,11,8,1,2,0,0,,249,81.79,2988
U00227,2025-09-03,Free,Canada,Organic,SMB,8,3,3,4,0,1,2025-12-27,0,41.83,0
U00228,2025-02-08,Pro,US,Organic,Startup,9,5,0,4,1,0,,79,37.64,1106
U00229,2025-05-22,Free,US,Organic,Startup,11,1,1,1,0,0,,0,34.21,0
U00230,2025-03-25,Free,Germany,Partner,SMB,10,1,1,5,0,0,,0,69.72,0
U00231,2025-04-11,Free,India,Content,SMB,4,1,2,2,0,1,2025-10-31,0,23.77,0
U00232,2025-01-10,Pro,Canada,Content,Mid-Market,14,7,2,6,0,0,,79,27.75,948
U00233,2025-05-07,Business,Germany,Organic,SMB,17,8,0,8,0,0,,249,35.44,3237
U00234,2025-01-26,Business,Germany,Paid Search,Startup,17,6,0,6,0,0,,249,106.11,2988
U00235,2025-10-05,Free,US,Paid Search,SMB,5,2,0,3,0,1,2026-04-26,0,122.31,0
U00236,2025-06-16,Pro,US,Organic,SMB,12,5,1,1,0,0,,79,48.2,948
U00237,2025-05-07,Pro,US,Paid Search,Startup,10,4,0,5,0,0,,79,48.06,948
U00238,2025-03-11,Free,US,Content,Enterprise,8,3,1,2,1,0,,0,24.72,0
U00239,2025-10-09,Pro,US,Paid Search,SMB,18,6,3,3,0,0,,79,76.26,711
U00240,2025-06-04,Business,US,Referral,SMB,16,3,0,10,0,0,,249,28.33,2988
U00241,2025-10-23,Pro,Germany,Organic,SMB,10,2,2,6,1,1,2026-05-30,79,32.25,553
U00242,2025-07-17,Pro,India,Referral,SMB,12,8,1,5,0,0,,79,28.56,948
U00243,2025-10-26,Pro,Germany,Organic,Mid-Market,17,6,0,3,0,0,,79,24.78,711
U00244,2025-09-22,Free,US,Organic,SMB,6,3,2,3,0,0,,0,42.21,0
U00245,2025-08-11,Free,Australia,Paid Search,Mid-Market,4,3,1,4,1,0,,0,107.02,0
U00246,2025-04-17,Pro,Germany,Organic,SMB,12,4,3,4,0,1,2025-09-19,79,51.19,395
U00247,2025-08-22,Pro,India,Paid Search,Startup,21,6,1,3,1,1,2026-02-06,79,104.18,474
U00248,2025-04-06,Pro,Germany,Paid Search,Mid-Market,11,9,1,3,0,0,,79,116.91,711
U00249,2025-09-15,Free,US,Content,SMB,11,1,0,1,0,1,2025-12-15,0,27.93,0
U00250,2025-04-05,Pro,India,Referral,Mid-Market,18,5,0,8,0,1,2025-05-27,79,31.45,158
U00251,2025-01-24,Free,US,Organic,SMB,6,2,1,3,1,1,2025-10-02,0,39.83,0
U00252,2025-02-05,Free,India,Paid Search,Mid-Market,11,2,2,2,1,0,,0,96.95,0
U00253,2025-05-17,Pro,US,Referral,Startup,12,4,1,3,1,0,,79,34.79,632
U00254,2025-07-18,Pro,US,Organic,Startup,20,2,1,1,0,1,2025-12-25,79,30.7,395
U00255,2025-03-28,Free,Canada,Referral,SMB,12,5,1,3,0,0,,0,17.47,0
U00256,2025-09-03,Free,US,Content,Startup,8,6,0,3,1,0,,0,34.52,0
U00257,2025-03-18,Free,US,Organic,Startup,12,2,0,1,0,0,,0,35.73,0
U00258,2025-05-22,Pro,Germany,Content,Startup,11,7,2,8,0,0,,79,37.52,869
U00259,2025-04-11,Free,UK,Organic,SMB,9,3,2,2,0,0,,0,19.01,0
U00260,2025-06-17,Free,US,Paid Search,SMB,11,4,2,1,0,0,,0,83.18,0
U00261,2025-02-26,Free,India,Paid Search,Startup,8,4,0,4,0,0,,0,69.21,0
U00262,2025-10-15,Free,Germany,Referral,Startup,11,2,4,2,0,0,,0,42.75,0
U00263,2025-10-05,Pro,UK,Paid Search,Enterprise,20,3,4,7,0,1,2026-05-02,79,78.17,553
U00264,2025-07-29,Pro,Australia,Organic,SMB,16,7,0,5,0,0,,79,36.63,1027
U00265,2025-06-09,Pro,US,Paid Search,SMB,16,5,1,4,0,0,,79,77.22,869
U00266,2025-08-12,Free,US,Referral,SMB,14,6,2,2,0,0,,0,46.43,0
U00267,2025-05-21,Pro,India,Organic,Mid-Market,17,1,2,3,1,1,2025-11-05,79,28.27,474
U00268,2025-09-24,Pro,US,Paid Search,SMB,16,6,1,6,0,0,,79,55.22,869
U00269,2025-01-20,Free,Canada,Paid Search,Mid-Market,10,4,0,6,0,1,2025-07-03,0,103.36,0
U00270,2025-03-06,Pro,UK,Organic,SMB,18,5,0,4,1,1,2025-10-16,79,29.16,553
U00271,2025-05-17,Pro,US,Referral,Startup,11,7,2,8,0,0,,79,31.2,790
U00272,2025-07-15,Free,US,Organic,SMB,9,2,3,2,1,1,2026-01-30,0,38.81,0
U00273,2025-08-01,Free,UK,Referral,SMB,5,1,1,5,1,0,,0,29.78,0
U00274,2025-08-04,Free,UK,Partner,Startup,6,4,1,4,0,0,,0,75.42,0
U00275,2025-10-10,Free,India,Organic,SMB,13,1,1,4,0,1,2026-01-01,0,44.21,0
U00276,2025-09-10,Free,India,Partner,Startup,9,1,1,1,1,1,2026-03-05,0,62.98,0
U00277,2025-10-02,Free,India,Content,Startup,6,3,5,3,0,0,,0,51.81,0
U00278,2025-04-14,Free,India,Paid Search,Mid-Market,10,3,2,2,0,1,2025-08-04,0,101.52,0
U00279,2025-07-28,Free,US,Organic,SMB,10,1,2,1,0,0,,0,24.34,0
U00280,2025-07-26,Pro,US,Paid Search,Startup,8,3,2,2,0,0,,79,67.1,948
